theta,phi,time,Sg (MW/m^2),PAR (mol PAR/m^2/s),PARdf (mol PAR/m^2/s),PARdr (mol PAR/m^2/s)
-28.59150639332236,359.69600069348564,2024-06-18 00:00:00+00:00,0.0,0.0,0.0,0.0
-28.55692660762521,2.3076850682264194,2024-06-18 00:10:00+00:00,0.0,0.0,0.0,0.0
-28.432728914392374,4.913868294983672,2024-06-18 00:20:00+00:00,0.0,0.0,0.0,0.0
-28.21946352079144,7.508436738481919,2024-06-18 00:30:00+00:00,0.0,0.0,0.0,0.0
-27.91806502081059,10.085485259048653,2024-06-18 00:40:00+00:00,0.0,0.0,0.0,0.0
-27.52983269310958,12.639416857760864,2024-06-18 00:50:00+00:00,0.0,0.0,0.0,0.0
-27.056403720756503,15.16503054885726,2024-06-18 01:00:00+00:00,0.0,0.0,0.0,0.0
-26.49972098648097,17.65759201897623,2024-06-18 01:10:00+00:00,0.0,0.0,0.0,0.0
-25.861996356720773,20.112888722556306,2024-06-18 01:20:00+00:00,0.0,0.0,0.0,0.0
-25.145671342925848,22.527266190715977,2024-06-18 01:30:00+00:00,0.0,0.0,0.0,0.0
-24.35337648350276,24.897646982891786,2024-06-18 01:40:00+00:00,0.0,0.0,0.0,0.0
-23.487890841963644,27.22153340313912,2024-06-18 01:50:00+00:00,0.0,0.0,0.0,0.0
-22.552102819342302,29.49699592884474,2024-06-18 02:00:00+00:00,0.0,0.0,0.0,0.0
-21.548973253345245,31.72264974677296,2024-06-18 02:10:00+00:00,0.0,0.0,0.0,0.0
-20.481501613859635,33.897621839630176,2024-06-18 02:20:00+00:00,0.0,0.0,0.0,0.0
-19.352695354854266,36.02151208384117,2024-06-18 02:30:00+00:00,0.0,0.0,0.0,0.0
-18.165543787009998,38.09434861562988,2024-06-18 02:40:00+00:00,0.0,0.0,0.0,0.0
-16.922995128322214,40.116542553240265,2024-06-18 02:50:00+00:00,0.0,0.0,0.0,0.0
-15.627937731150183,42.088841719630864,2024-06-18 03:00:00+00:00,0.0,0.0,0.0,0.0
-14.283184880591456,44.012285732968394,2024-06-18 03:10:00+00:00,0.0,0.0,0.0,0.0
-12.891462965833956,45.88816345291241,2024-06-18 03:20:00+00:00,0.0,0.0,0.0,0.0
